F3 04 00 34 00 2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3F 04 01 34 00 78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F3 04 00 35 00 2C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3F 04 01 35 00 79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4E 0C 00 01 37 C7 69 1D 0C E1 1D 04 02 EF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F3 04 00 36 00 2D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3F 04 01 36 00 7A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E4 04 01 01 00 EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4F BD B8 AC B9 A9,B9,F6,4,1,15,0,10,,,,,,,,,,,,,,,,,,,,,,46,CA,,,,,,,,
76 81 85 CF 85 C4,85,F3,4,0,4A,0,41,,,,,,,,,,,,,,,,,,,,,,34,3C,,,,,,,,
1C 75 73 70 72 62 10 9E,73,6F,6,0,3,1,11,63,ED,,,,,,,,,,,,,,,,,,,,12,F6,,,,,,,,
E9 D2 D7 9C D6 58,D6,3F,4,1,4A,0,8E,,,,,,,,,,,,,,,,,,,,,,63,A5,,,,,,,,
76 81 85 CE 85 C7,85,F3,4,0,4B,0,42,,,,,,,,,,,,,,,,,,,,,,51,53,,,,,,,,
73 81 84 45 85 3E,85,F6,4,1,C0,0,BB,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
E9 D2 D7 9D D6 59,D6,3F,4,1,4B,0,8F,,,,,,,,,,,,,,,,,,,,,,51,53,,,,,,,,
25 D2 D6 9A D6 95,D6,F3,4,0,4C,0,43,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
6D D2 D7 76 A5 05,D6,BB,4,1,A0,73,D3,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
25 D2 D6 9B D6 92,D6,F3,4,0,4D,0,44,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
1A D2 D7 80 A5 4C,D6,CC,4,1,56,73,9A,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
6D D2 D7 77 00 E1,D6,BB,4,1,A1,D6,37,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
25 D2 D6 98 D6 93,D6,F3,4,0,4E,0,45,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
E9 D2 D7 98 D6 44,D6,3F,4,1,4E,0,92,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
25 D2 D6 99 D6 90,D6,F3,4,0,4F,0,46,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
E9 D2 D7 99 D6 45,D6,3F,4,1,4F,0,93,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
25 D2 D6 86 D6 91,D6,F3,4,0,50,0,47,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
E9 D2 D7 86 D6 42,D6,3F,4,1,50,0,94,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
25 D2 D6 87 D6 9E,D6,F3,4,0,51,0,48,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
E9 D2 D7 87 D6 43,D6,3F,4,1,51,0,95,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
25 D2 D6 84 D6 9F,D6,F3,4,0,52,0,49,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
E9 D2 D7 84 D6 40,D6,3F,4,1,52,0,96,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
B9 D2 D6 FC D6 4B,D6,6F,4,0,2A,0,9D,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
20 D2 D7 FC D6 F3,D6,F6,4,1,2A,0,25,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
5F A8 AC FF AC E6,AC,F3,4,0,53,0,4A,,,,,,,,,,,,,,,,,,,,,,2A,7A,,,,,,,,
93 A8 AD FF AC 3B,AC,3F,4,1,53,0,97,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
5A A8 AC BC AD A7,AC,F6,4,0,10,1,0B,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
C3 BC AC 6C 9C 9C 9F 9C 9C 9C 9C 9C 9C 9C AD AC AC 8F,AC,6F,10,0,C0,30,30,33,30,30,30,30,30,30,30,1,0,0,23,,,,,,,,,,0,0,,,,,,,,
8A 7D 79 2D 79 32,79,F3,4,0,54,0,4B,,,,,,,,,,,,,,,,,,,,,,33,D5,,,,,,,,
16 7D 78 69 79 FD,79,6F,4,1,10,0,84,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
B5 8E 8B DE 8A 12,8A,3F,4,1,54,0,98,,,,,,,,,,,,,,,,,,,,,,11,F3,,,,,,,,
8A 7D 79 2C 79 35,79,F3,4,0,55,0,4C,,,,,,,,,,,,,,,,,,,,,,11,F3,,,,,,,,
8A 7D 79 2F 79 34,79,F3,4,0,56,0,4D,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
B5 8E 8B DC 8A 10,8A,3F,4,1,56,0,9A,,,,,,,,,,,,,,,,,,,,,,11,F3,,,,,,,,
8A 7D 79 2E 79 37,79,F3,4,0,57,0,4E,,,,,,,,,,,,,,,,,,,,,,11,F3,,,,,,,,
B5 8E 8B DD 8A 11,8A,3F,4,1,57,0,9B,,,,,,,,,,,,,,,,,,,,,,11,F3,,,,,,,,
8F 7D 78 B9 79 C2,79,F6,4,1,C0,0,BB,,,,,,,,,,,,,,,,,,,,,,11,F3,,,,,,,,
79 8E 8A D2 8A C5,8A,F3,4,0,58,0,4F,,,,,,,,,,,,,,,,,,,,,,11,F3,,,,,,,,
B5 8E 8B D2 8A 16,8A,3F,4,1,58,0,9C,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
79 8E 8A D3 8A DA,8A,F3,4,0,59,0,50,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
B5 8E 8B D3 8A 17,8A,3F,4,1,59,0,9D,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
E5 8F 8A 8B 8B 8A FC,8A,6F,5,0,1,1,0,76,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
79 8E 8A D0 8A DB,8A,F3,4,0,5A,0,51,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
5F 64 61 3A 60 FE,60,3F,4,1,5A,0,9E,,,,,,,,,,,,,,,,,,,,,,2A,EA,,,,,,,,
79 8E 8A D1 8A D8,8A,F3,4,0,5B,0,52,,,,,,,,,,,,,,,,,,,,,,2A,EA,,,,,,,,
